site,site_name,lat,lon,elevation,igbp,country,state,tower_start,tower_end,base_start,base_end,base_years,has_fch4,declares_ch4,networks
BR-Npw,Northern Pantanal Wetland,-16.4980,-56.4120,120,WSA,Brazil,Mato Grosso,2013,,2013,2017,5,True,True,AmeriFlux
BR-SM1,Cachoeira do Sul Rice Paddy,-30.2771,-53.1479,40.5,CRO,Brazil,,2015,2016,2015,2016,2,True,True,AmeriFlux
BR-Xpw,XomanoFlux,-16.3730,-56.4610,124,GRA,Brazil,Mato Grosso,2017,2022,2017,2022,6,True,True,AmeriFlux
CA-ARB,Attawapiskat River Bog,52.6950,-83.9452,90,WET,Canada,Ontario,2010,,2011,2024,14,True,True,AmeriFlux
CA-ARF,Attawapiskat River Fen,52.7008,-83.9550,88,WET,Canada,Ontario,2010,,2011,2024,14,True,True,AmeriFlux
CA-BCW,Big Creek Watershed,42.6206,-80.5516,201,WET,Canada,Ontario,2023,,2023,2025,3,True,True,AmeriFlux
CA-BOU,Bouleau Peatland,50.5244,-63.2064,108,WET,Canada,Quebec,2018,2020,2018,2020,3,True,True,AmeriFlux
CA-CF2,Churchill Fen Site 2,58.6658,-93.8300,16.5,WET,Canada,Manitoba,2008,2011,2008,2011,4,True,True,AmeriFlux
CA-CF3,Churchill Fen Site 3,58.6658,-93.8304,25,WET,Canada,Manitoba,2022,,2022,2025,4,True,True,AmeriFlux
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",44.3184,-79.9341,210,DBF,Canada,,1995,,1994,2025,32,True,False,AmeriFlux;Fluxnet-Canada
CA-DB2,Delta Burns Bog 2,49.1190,-122.9951,4,WET,Canada,British Columbia,2019,,2019,2024,6,True,True,AmeriFlux
CA-DBB,Delta Burns Bog,49.1293,-122.9849,4,WET,Canada,British Columbia,2014,,2015,2024,10,True,True,AmeriFlux
CA-DSM,Delta Salt Marsh,49.0887,-122.8954,,WET,Canada,British Columbia,2021,,2021,2024,4,True,True,AmeriFlux
CA-EM1,Newdale Manitoba,50.3623,-100.2024,607.9,WET,Canada,Manitoba,2021,,2021,2023,3,True,True,AmeriFlux
CA-EM2,Shoal Lake Manitoba,50.3706,-100.5339,554.3,WET,Canada,Manitoba,2021,,2021,2023,3,True,True,AmeriFlux
CA-HPC,Havikpak Creek,68.3203,-133.5188,80,ENF,Canada,Northwest Territories,2013,,2018,2018,1,True,True,AmeriFlux
CA-Mtk,Mittimatalik (Pond Inlet) Tundra,72.6695,-77.9981,15,GRA,Canada,Nunavut,2024,,2024,2024,1,True,True,AmeriFlux
CA-PB1,Polar Bear 1 - Peat Plateau,54.9417,-83.4579,29,WET,Canada,Ontario,2016,2024,2016,2024,9,True,True,AmeriFlux
CA-PB2,Polar Bear 2 - Fen,54.9389,-83.4736,26,WET,Canada,Ontario,2017,2024,2017,2024,8,True,True,AmeriFlux
CA-RBM,Richmond Brackish Marsh,49.1313,-123.1964,,WET,Canada,British Columbia,2022,,2022,2024,3,True,True,AmeriFlux
CA-RSB,Resolute Bay Polar Desert,74.7279,-94.8985,119,BSV,Canada,Nunavut,2024,,2024,2025,2,True,True,AmeriFlux
CA-SCB,Scotty Creek Bog,61.3089,-121.2984,280,WET,Canada,Northwest Territories,2014,,2014,2019,6,True,True,AmeriFlux
CA-SCC,Scotty Creek Landscape,61.3079,-121.2992,285,ENF,Canada,,2013,,2013,2024,12,True,False,AmeriFlux
CA-SMC,Smith Creek,63.1534,-123.2522,150,ENF,Canada,Northwest Territories,2017,2022,2018,2018,1,True,True,AmeriFlux
CA-TVC,Trail Valley Creek,68.7462,-133.5017,85,OSH,Canada,Northwest Territories,2013,,2017,2017,1,True,True,AmeriFlux
CA-WRF,White River Fen,48.3513,-85.3571,485,WET,Canada,Ontario,2024,,2024,2025,2,True,True,AmeriFlux
CL-SDP,Senda Darwin Peatland,-41.8790,-73.6660,50,WET,Chile,,2014,,2014,2024,11,True,True,AmeriFlux
PE-QFR,Quistococha Forest Reserve,-3.8344,-73.3190,104,WET,Peru,Loreto,2018,,2018,2022,5,True,True,AmeriFlux
US-A03,ARM-AMF3-Oliktok,70.4953,-149.8823,5,BSV,USA,AK,2014,,2014,2021,8,True,True,AmeriFlux
US-A10,ARM-NSA-Barrow,71.3242,-156.6149,4,BSV,USA,AK,2012,,2011,2022,12,True,True,AmeriFlux
US-ABa,Archbold grazed seminative pasture,27.1301,-81.2011,8.407258,GRA,USA,FL,2013,2015,2013,2015,3,True,True,AmeriFlux;LTAR
US-ABb,Archbold ungrazed seminative pasture,27.1346,-81.2031,8.251645,GRA,USA,FL,2013,2015,2013,2015,3,True,True,AmeriFlux;LTAR
US-ABc,Archbold grazed improved pasture,27.1633,-81.1873,9.34224,GRA,USA,FL,2013,2015,2013,2015,3,True,True,AmeriFlux
US-ABd,Archbold ungrazed improved pasture,27.1699,-81.2152,10.66159,GRA,USA,FL,2013,2015,2013,2015,3,True,True,AmeriFlux;LTAR
US-ABe,Archbold Ungrazed Wetland,27.1656,-81.2161,9.05302,WET,USA,FL,2013,2015,2013,2015,3,True,True,AmeriFlux;LTAR
US-ALQ,Allequash Creek Site,46.0308,-89.6067,,WET,USA,WI,2015,,2015,2025,11,True,True,AmeriFlux;AmeriFlux
US-AMS,Argonne Testbed for Multiscale Observational Science (ATMOS),41.7018,-87.9963,232,GRA,USA,IL,2021,,2022,2023,2,True,True,AmeriFlux
US-Act,Acton Lake Flux Tower Site,39.5820,-84.7550,263,WAT,USA,OH,2017,2019,2017,2018,2,True,True,AmeriFlux
US-BZB,Bonanza Creek Thermokarst Bog,64.6955,-148.3208,100,WET,USA,AK,2011,,2011,2025,15,True,True,AmeriFlux
US-BZF,Bonanza Creek Rich Fen,64.7013,-148.3121,95,WET,USA,AK,2011,,2011,2025,15,True,True,AmeriFlux
US-BZS,Bonanza Creek Black Spruce,64.6963,-148.3235,100,ENF,USA,AK,2010,,2010,2025,16,True,True,AmeriFlux
US-BZo,Bonanza Creek Old Thermokarst Bog,64.6936,-148.3300,100,WET,USA,AK,2018,,2018,2025,8,True,True,AmeriFlux
