site,lat,lon,orig_lat,orig_lon,offset_km
CA-Mtk,72.643296,-78.072289,72.669502,-77.998100,3.81
CA-TP3,42.693096,-80.333333,42.706799,-80.348297,1.95
CA-TP4,42.693096,-80.333333,42.710201,-80.357399,2.74
CA-TPA,42.693096,-80.333333,42.694698,-80.348701,1.27
DE-Hte,54.188067,12.140762,54.213055,12.179944,3.77
IT-Noe,40.619080,8.176011,40.606129,8.151460,2.52
KR-AdC,36.5062,126.3893,36.5057,126.3591,2.70
KR-WdE,34.361879,126.691871,34.359558,126.677788,1.32
NO-And,69.163167,15.979899,69.142776,16.022221,2.82
SE-St1,68.354652,19.016129,68.354103,19.050301,1.40
SE-Sto,68.354652,19.016129,68.356003,19.045210,1.20
US-A03,70.463821,-149.946429,70.495300,-149.882294,4.23
US-A10,71.307489,-156.660448,71.324203,-156.614899,2.47
US-Cms,71.307489,-156.660448,71.320198,-156.622299,1.96
US-KS3,28.702275,-80.732265,28.708401,-80.742699,1.22
US-LA3,29.510790,-89.895652,29.493601,-89.915298,2.70
US-NGB,71.272336,-156.536313,71.279999,-156.609207,2.74
US-xBA,71.307489,-156.660448,71.282402,-156.619400,3.15
