file,variable,missing_pct,gapfilled_pct,gapfilling_method,tier
met_insituHT_AR-Bal_2012-2013.nc,Tair,0.0,87.9,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,SWdown,0.0,87.6,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,LWdown,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,VPD,0.0,87.9,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,PSurf,0.0,89.6,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,Rainf,0.0,88.3,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,Wind,0.0,88.3,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,Qair,0.0,87.9,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,RH,0.0,87.9,ERA-Interim,complete
met_insituHT_AR-Bal_2012-2013.nc,CO2air,0.0,90.5,observed,complete
met_insituHT_AR-CCa_2013-2020.nc,Tair,0.0,20.2,ERA-Interim,medium
met_insituHT_AR-CCa_2013-2020.nc,SWdown,0.0,27.2,ERA-Interim,heavy
met_insituHT_AR-CCa_2013-2020.nc,LWdown,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-CCa_2013-2020.nc,VPD,0.0,36.8,ERA-Interim,heavy
met_insituHT_AR-CCa_2013-2020.nc,PSurf,0.0,29.9,ERA-Interim,heavy
met_insituHT_AR-CCa_2013-2020.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-CCa_2013-2020.nc,Wind,0.0,20.2,ERA-Interim,medium
met_insituHT_AR-CCa_2013-2020.nc,Qair,0.0,36.8,ERA-Interim,heavy
met_insituHT_AR-CCa_2013-2020.nc,RH,0.0,36.8,ERA-Interim,heavy
met_insituHT_AR-CCa_2013-2020.nc,CO2air,0.0,35.6,observed,heavy
met_insituHT_AR-CCg_2018-2024.nc,Tair,0.0,40.4,observed,heavy
met_insituHT_AR-CCg_2018-2024.nc,SWdown,0.0,21.6,observed,medium
met_insituHT_AR-CCg_2018-2024.nc,LWdown,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-CCg_2018-2024.nc,VPD,0.0,70.2,ERA-Interim,complete
met_insituHT_AR-CCg_2018-2024.nc,PSurf,0.0,58.2,ERA-Interim,complete
met_insituHT_AR-CCg_2018-2024.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-CCg_2018-2024.nc,Wind,0.0,40.4,ERA-Interim,heavy
met_insituHT_AR-CCg_2018-2024.nc,Qair,0.0,70.2,ERA-Interim,complete
met_insituHT_AR-CCg_2018-2024.nc,RH,0.0,70.2,ERA-Interim,complete
met_insituHT_AR-CCg_2018-2024.nc,CO2air,0.0,49.1,observed,heavy
met_insituHT_AR-TF1_2017-2017.nc,Tair,0.0,3.1,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,SWdown,0.0,1.6,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,LWdown,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-TF1_2017-2017.nc,VPD,0.0,3.1,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,PSurf,0.0,4.8,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-TF1_2017-2017.nc,Wind,0.0,7.9,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,Qair,0.0,3.1,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,RH,0.0,3.1,ERA-Interim,mild
met_insituHT_AR-TF1_2017-2017.nc,CO2air,0.0,4.8,observed,mild
met_insituHT_AR-TF2_2017-2017.nc,Tair,0.0,0.0,ERA-Interim,mild
met_insituHT_AR-TF2_2017-2017.nc,SWdown,0.0,0.4,ERA-Interim,mild
met_insituHT_AR-TF2_2017-2017.nc,LWdown,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-TF2_2017-2017.nc,VPD,0.0,0.0,ERA-Interim,mild
met_insituHT_AR-TF2_2017-2017.nc,PSurf,0.0,39.1,ERA-Interim,heavy
met_insituHT_AR-TF2_2017-2017.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AR-TF2_2017-2017.nc,Wind,0.0,39.2,ERA-Interim,heavy
met_insituHT_AR-TF2_2017-2017.nc,Qair,0.0,0.0,ERA-Interim,mild
met_insituHT_AR-TF2_2017-2017.nc,RH,0.0,0.0,ERA-Interim,mild
