site,period,lat,lon,country,source,declared_country,derived_country,derived_iso_a2,offshore_km,border_km
AR-Bal,2012-2013,-37.75960,-58.30240,Argentina,derived,,Argentina,AR,0.0,
AR-CCa,2013-2020,-35.62100,-61.31810,Argentina,derived,,Argentina,AR,0.0,
AR-CCg,2018-2024,-35.92440,-61.18550,Argentina,derived,,Argentina,AR,0.0,
AR-TF1,2017-2017,-54.97330,-66.73350,Argentina,derived,,Argentina,AR,0.1,
AR-TF2,2017-2017,-54.82690,-68.45490,Argentina,derived,,Argentina,AR,0.0,12.2
AT-Mmg,2022-2024,47.31656,10.97009,Austria,derived,,Austria,AT,0.0,8.3
AT-Neu,2002-2019,47.11667,11.31750,Austria,declared,Austria,Austria,AT,0.0,14.4
AT-Nsd,2019-2022,47.76914,16.75849,Austria,derived,,Austria,AT,0.0,8.0
AT-PsM,2016-2019,47.58145,14.34720,Austria,derived,,Austria,AT,0.0,
AT-Zoe,2015-2023,47.84225,14.44414,Austria,derived,,Austria,AT,0.0,80.6
AU-APL,2018-2021,-36.86222,147.32083,Australia,derived,,Australia,AU,0.0,
AU-ASM,2011-2025,-22.28300,133.24899,Australia,declared,Australia,Australia,AU,0.0,
AU-Ade,2008-2008,-13.07690,131.11780,Australia,declared,Australia,Australia,AU,0.0,
AU-Boy,2018-2024,-32.47709,116.93856,Australia,declared,Australia,Australia,AU,0.0,
AU-Col,2018-2018,-33.42000,116.23700,Australia,declared,Australia,Australia,AU,0.0,
AU-Cow,2009-2024,-16.23819,145.42715,Australia,declared,Australia,Australia,AU,0.0,
AU-Cpr,2011-2025,-34.00206,140.58913,Australia,declared,Australia,Australia,AU,0.0,
AU-Ctr,2010-2017,-16.10328,145.44685,Australia,declared,Australia,Australia,AU,0.0,
AU-Cum,2014-2025,-33.61330,150.72247,Australia,declared,Australia,Australia,AU,0.0,
AU-DaP,2008-2012,-14.06330,131.31810,Australia,declared,Australia,Australia,AU,0.0,
AU-DaS,2008-2025,-14.15928,131.38800,Australia,declared,Australia,Australia,AU,0.0,
AU-Dry,2010-2024,-15.25880,132.37061,Australia,declared,Australia,Australia,AU,0.0,
AU-Emr,2012-2013,-23.85870,148.47459,Australia,declared,Australia,Australia,AU,0.0,
AU-Fle,2023-2025,-19.88729,146.18913,Australia,declared,Australia,Australia,AU,0.0,
AU-Fog,2007-2007,-12.54520,131.30721,Australia,declared,Australia,Australia,AU,0.0,
AU-GWW,2013-2024,-30.19130,120.65410,Australia,declared,Australia,Australia,AU,0.0,
AU-Gin,2012-2024,-31.37500,115.65000,Australia,declared,Australia,Australia,AU,0.0,
AU-How,2002-2024,-12.49520,131.14999,Australia,declared,Australia,Australia,AU,0.0,
AU-Lit,2016-2024,-13.17904,130.79449,Australia,declared,Australia,Australia,AU,0.0,
AU-Lon,2019-2024,-23.52327,144.31041,Australia,declared,Australia,Australia,AU,0.0,
AU-Lox,2008-2009,-34.47040,140.65511,Australia,declared,Australia,Australia,AU,0.0,
AU-MvA,2024-2024,-30.54300,150.02000,Australia,derived,,Australia,AU,0.0,
AU-MvB,2024-2024,-30.69700,150.09000,Australia,derived,,Australia,AU,0.0,
AU-Otw,2008-2010,-38.53234,142.81680,Australia,declared,Australia,Australia,AU,0.0,
AU-RDF,2012-2012,-14.56360,132.47760,Australia,declared,Australia,Australia,AU,0.0,
AU-Rgf,2016-2024,-32.50610,116.96683,Australia,declared,Australia,Australia,AU,0.0,
AU-Rig,2011-2016,-36.64990,145.57590,Australia,declared,Australia,Australia,AU,0.0,
AU-Rob,2014-2024,-17.11750,145.63010,Australia,declared,Australia,Australia,AU,0.0,
AU-Sam,2011-2017,-27.38810,152.87781,Australia,declared,Australia,Australia,AU,0.0,
AU-Sil,2020-2024,-42.09056,147.08749,Australia,derived,,Australia,AU,0.0,
AU-Sno,2024-2024,-36.37565,148.43585,Australia,derived,,Australia,AU,0.0,
AU-Stp,2009-2024,-17.15070,133.35020,Australia,declared,Australia,Australia,AU,0.0,
AU-TTE,2013-2025,-22.28700,133.64000,Australia,declared,Australia,Australia,AU,0.0,
AU-Tum,2002-2021,-35.65660,148.15170,Australia,declared,Australia,Australia,AU,0.0,
AU-Wac,2006-2008,-37.42900,145.18726,Australia,declared,Australia,Australia,AU,0.0,
AU-Wel,2024-2025,-32.57270,148.98430,Australia,derived,,Australia,AU,0.0,
AU-Wgt,2024-2025,-42.09139,147.07944,Australia,derived,,Australia,AU,0.0,
AU-Whr,2012-2025,-36.67320,145.02940,Australia,declared,Australia,Australia,AU,0.0,
AU-Wom,2011-2025,-37.42220,144.09441,Australia,declared,Australia,Australia,AU,0.0,
AU-Wrr,2015-2020,-43.09502,146.65450,Australia,declared,Australia,Australia,AU,0.0,
AU-Ya1,2023-2024,-33.61347,150.73486,Australia,derived,,Australia,AU,0.0,
AU-Ya2,2023-2024,-33.62081,150.76329,Australia,derived,,Australia,AU,0.0,
AU-Ync,2013-2024,-34.98930,146.29070,Australia,declared,Australia,Australia,AU,0.0,
BE-Bra,2000-2023,51.30917,4.52056,Belgium,declared,Belgium,Belgium,BE,0.0,12.5
BE-Dor,2011-2024,50.31171,4.96831,Belgium,declared,Belgium,Belgium,BE,0.0,21.7
BE-Lcr,2019-2022,51.10000,3.85000,Belgium,declared,Belgium,Belgium,BE,0.0,11.7
