site,status,hub,resolution,n_rows,n_swc_depths,swc_max_cov,swc_min_cov,n_ts_depths,ts_max_cov,ts_min_cov,period,outfile
AR-Bal,OK,AMF,HH,35088,0,,,5,0.1701,0.1701,2012-2013,soil/shuttle-all775-era5/soil_AR-Bal_2012-2013.nc
AT-Nsd,OK,EUF,HH,87648,3,0.9083,0.9083,3,0.9083,0.9083,2018-2022,soil/shuttle-all775-era5/soil_AT-Nsd_2018-2022.nc
AT-PsM,OK,EUF,HH,87648,3,0.6803,0.6589,4,0.6803,0.2616,2015-2019,soil/shuttle-all775-era5/soil_AT-PsM_2015-2019.nc
AT-Neu,OK,EUF,HH,333120,3,0.5571,0.3202,3,1.0000,0.6647,2002-2020,soil/shuttle-all775-era5/soil_AT-Neu_2002-2020.nc
AT-Mmg,OK,EUF,HH,70128,3,0.3628,0.3628,4,0.6944,0.6944,2021-2024,soil/shuttle-all775-era5/soil_AT-Mmg_2021-2024.nc
AU-APL,OK,TERN,HH,105168,1,0.6040,0.6040,1,0.6040,0.6040,2017-2022,soil/shuttle-all775-era5/soil_AU-APL_2017-2022.nc
AU-Ade,OK,TERN,HH,52608,1,0.5609,0.5609,1,0.5609,0.5609,2007-2009,soil/shuttle-all775-era5/soil_AU-Ade_2007-2009.nc
AU-ASM,OK,TERN,HH,280512,1,0.9606,0.9606,1,0.9606,0.9606,2010-2025,soil/shuttle-all775-era5/soil_AU-ASM_2010-2025.nc
AU-Col,OK,TERN,HH,52560,1,0.7850,0.7850,1,0.7850,0.7850,2017-2019,soil/shuttle-all775-era5/soil_AU-Col_2017-2019.nc
AU-Boy,OK,TERN,HH,157776,1,0.8987,0.8987,1,0.8987,0.8987,2017-2025,soil/shuttle-all775-era5/soil_AU-Boy_2017-2025.nc
AU-Ctr,OK,TERN,HH,157776,1,0.9865,0.9865,1,0.9865,0.9865,2010-2018,soil/shuttle-all775-era5/soil_AU-Ctr_2010-2018.nc
AU-Cpr,OK,TERN,HH,280512,1,0.8659,0.8659,1,0.8777,0.8777,2010-2025,soil/shuttle-all775-era5/soil_AU-Cpr_2010-2025.nc
AU-DaP,OK,TERN,HH,105216,1,0.9546,0.9546,1,0.9546,0.9546,2008-2013,soil/shuttle-all775-era5/soil_AU-DaP_2008-2013.nc
AU-Cum,OK,TERN,HH,210384,1,1.0000,1.0000,1,1.0000,1.0000,2014-2025,soil/shuttle-all775-era5/soil_AU-Cum_2014-2025.nc
AU-Emr,OK,TERN,HH,52608,1,0.8677,0.8677,1,0.8677,0.8677,2011-2013,soil/shuttle-all775-era5/soil_AU-Emr_2011-2013.nc
AU-Fle,OK,TERN,HH,70128,1,0.9807,0.9807,1,0.9807,0.9807,2022-2025,soil/shuttle-all775-era5/soil_AU-Fle_2022-2025.nc
AU-DaS,OK,TERN,HH,333120,1,0.9496,0.9496,1,0.9496,0.9496,2007-2025,soil/shuttle-all775-era5/soil_AU-DaS_2007-2025.nc
AU-Dry,OK,TERN,HH,298032,1,0.9069,0.9069,1,0.9120,0.9120,2009-2025,soil/shuttle-all775-era5/soil_AU-Dry_2009-2025.nc
AU-Fog,OK,TERN,HH,52608,1,0.9377,0.9377,1,0.9377,0.9377,2006-2008,soil/shuttle-all775-era5/soil_AU-Fog_2006-2008.nc
AU-GWW,OK,TERN,HH,227904,1,0.9643,0.9643,1,0.9643,0.9643,2013-2025,soil/shuttle-all775-era5/soil_AU-GWW_2013-2025.nc
AU-Gin,OK,TERN,HH,262992,1,0.9192,0.9192,1,0.9192,0.9192,2011-2025,soil/shuttle-all775-era5/soil_AU-Gin_2011-2025.nc
AU-Cow,OK,TERN,HH,298032,1,0.8526,0.8526,1,0.8471,0.8471,2009-2025,soil/shuttle-all775-era5/soil_AU-Cow_2009-2025.nc
AU-Lox,OK,TERN,HH,35088,1,0.4429,0.4429,1,0.4429,0.4429,2008-2009,soil/shuttle-all775-era5/soil_AU-Lox_2008-2009.nc
